epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4848,1.5063,1.84309,1.70423,0.75016,0.24329,0.19663,0.08067,1.97862,2.13445,2.25099,0.00041559,0.00041559,0.00041559
2,180.445,1.36097,1.61314,1.5474,0.50881,0.28015,0.26228,0.13158,1.55967,1.89031,1.76234,0.000815778,0.000815778,0.000815778
3,263.716,1.29093,1.49376,1.49874,0.78968,0.27415,0.27436,0.14939,1.54509,1.75865,1.79593,0.00119947,0.00119947,0.00119947
4,349.054,1.2173,1.38347,1.44813,0.6689,0.30751,0.33737,0.19108,1.39642,1.39282,1.61158,0.00117575,0.00117575,0.00117575
5,434.424,1.15891,1.27344,1.40846,0.59682,0.33318,0.34908,0.20889,1.31017,1.29779,1.54288,0.001151,0.001151,0.001151
6,520.318,1.10813,1.1975,1.37516,0.81809,0.34867,0.3813,0.2268,1.27818,1.20976,1.49966,0.00112625,0.00112625,0.00112625
7,605.344,1.07945,1.13747,1.35006,0.61798,0.35489,0.39403,0.23585,1.23706,1.13033,1.4671,0.0011015,0.0011015,0.0011015
8,689.793,1.04264,1.09145,1.33076,0.71396,0.41205,0.4211,0.25332,1.22279,1.05677,1.43743,0.00107675,0.00107675,0.00107675
9,775.411,1.0211,1.0454,1.31729,0.80154,0.38052,0.44895,0.27842,1.15204,0.97349,1.39464,0.001052,0.001052,0.001052
10,864.514,0.99974,1.01648,1.29769,0.72803,0.37594,0.4156,0.26582,1.16327,1.02386,1.38619,0.00102725,0.00102725,0.00102725
11,949.7,0.97866,0.97847,1.29007,0.78264,0.41729,0.43438,0.27356,1.17298,0.9482,1.38698,0.0010025,0.0010025,0.0010025
12,1034.15,0.96253,0.94254,1.27305,0.56652,0.43143,0.46785,0.29793,1.09956,0.89465,1.34842,0.00097775,0.00097775,0.00097775
13,1117.92,0.94684,0.93198,1.26894,0.77472,0.45496,0.47702,0.30493,1.08257,0.86443,1.3305,0.000953,0.000953,0.000953
14,1201.4,0.94223,0.91607,1.25715,0.76395,0.4608,0.47997,0.30871,1.09343,0.87081,1.32645,0.00092825,0.00092825,0.00092825
15,1283.62,0.90945,0.88733,1.24087,0.7074,0.47632,0.47936,0.31408,1.06805,0.8423,1.31523,0.0009035,0.0009035,0.0009035
16,1365.94,0.9023,0.86665,1.23564,0.5118,0.47957,0.50216,0.32316,1.07842,0.83906,1.32929,0.00087875,0.00087875,0.00087875
17,1447.93,0.8988,0.84522,1.23104,0.52342,0.47103,0.50027,0.3134,1.10601,0.82338,1.34675,0.000854,0.000854,0.000854
18,1532.05,0.89866,0.84821,1.22821,0.46905,0.47625,0.48102,0.31403,1.04175,0.80538,1.29378,0.00082925,0.00082925,0.00082925
19,1616.09,0.88249,0.82395,1.21881,0.77766,0.51902,0.52328,0.32807,1.05042,0.76438,1.30091,0.0008045,0.0008045,0.0008045
20,1698.22,0.86943,0.80262,1.21179,0.52828,0.50321,0.49689,0.31508,1.06119,0.80327,1.32023,0.00077975,0.00077975,0.00077975
21,1780.17,0.86406,0.79816,1.20956,0.82194,0.48323,0.51821,0.33052,1.04264,0.77655,1.29842,0.000755,0.000755,0.000755
22,1862.17,0.84834,0.779,1.19604,0.77321,0.49309,0.50617,0.32038,1.07189,0.76535,1.3198,0.00073025,0.00073025,0.00073025
23,1944.71,0.83201,0.7531,1.18563,0.51484,0.50954,0.52126,0.33407,1.02415,0.74957,1.27321,0.0007055,0.0007055,0.0007055
24,2028.18,0.82287,0.74101,1.17903,0.56142,0.52591,0.53227,0.34628,1.01101,0.72255,1.26173,0.00068075,0.00068075,0.00068075
25,2110.35,0.81639,0.73172,1.1775,0.53594,0.51006,0.52578,0.34677,0.99926,0.71561,1.25997,0.000656,0.000656,0.000656
26,2192.44,0.80365,0.71279,1.16698,0.80143,0.5321,0.57798,0.36718,0.99864,0.68184,1.26937,0.00063125,0.00063125,0.00063125
27,2274.76,0.80909,0.71252,1.17197,0.5446,0.54215,0.54938,0.35203,0.9918,0.6943,1.25814,0.0006065,0.0006065,0.0006065
28,2356.9,0.79147,0.69084,1.16325,0.54696,0.59511,0.55915,0.35807,1.01224,0.71619,1.27172,0.00058175,0.00058175,0.00058175
29,2440.17,0.78208,0.68959,1.15222,0.8047,0.55068,0.54739,0.3641,0.99037,0.68481,1.25273,0.000557,0.000557,0.000557
30,2523.79,0.7715,0.66858,1.14966,0.61649,0.57615,0.55794,0.36639,0.99847,0.67022,1.26122,0.00053225,0.00053225,0.00053225
31,2607.66,0.76605,0.66055,1.14382,0.58658,0.56193,0.55778,0.36446,0.99471,0.68178,1.24995,0.0005075,0.0005075,0.0005075
32,2689.97,0.76252,0.65918,1.1413,0.68466,0.52559,0.55516,0.36987,0.99332,0.66018,1.26398,0.00048275,0.00048275,0.00048275
33,2772.03,0.74463,0.6396,1.13065,0.56144,0.52808,0.54971,0.3637,0.98132,0.66519,1.25411,0.000458,0.000458,0.000458
34,2853.93,0.74223,0.63789,1.12736,0.8508,0.53228,0.56873,0.37407,0.97333,0.65009,1.25338,0.00043325,0.00043325,0.00043325
35,2936.41,0.72292,0.62187,1.11937,0.73541,0.57986,0.59643,0.38402,0.99051,0.64713,1.27494,0.0004085,0.0004085,0.0004085
36,3018.85,0.72316,0.61951,1.11733,0.67376,0.56369,0.58252,0.37534,1.00115,0.63519,1.2749,0.00038375,0.00038375,0.00038375
37,3101.07,0.71669,0.60619,1.11277,0.59836,0.61663,0.58755,0.38335,0.98853,0.63397,1.2581,0.000359,0.000359,0.000359
38,3182.97,0.70294,0.59355,1.10584,0.73602,0.56459,0.60412,0.41018,0.97788,0.63375,1.25676,0.00033425,0.00033425,0.00033425
39,3265.11,0.69755,0.58552,1.10214,0.65281,0.60327,0.58025,0.38036,0.98252,0.63283,1.25493,0.0003095,0.0003095,0.0003095
40,3346.96,0.68956,0.57852,1.09927,0.59491,0.60922,0.58285,0.38159,0.98129,0.6258,1.24538,0.00028475,0.00028475,0.00028475
41,3434.97,0.63712,0.42683,1.05051,0.59232,0.56141,0.57092,0.36987,0.99771,0.63775,1.26988,0.00026,0.00026,0.00026
42,3516.03,0.61826,0.40753,1.03617,0.7121,0.60088,0.61668,0.38939,0.9883,0.63128,1.25576,0.00023525,0.00023525,0.00023525
43,3597.17,0.60373,0.39678,1.02889,0.73292,0.57107,0.5967,0.37538,1.00102,0.62232,1.26706,0.0002105,0.0002105,0.0002105
44,3678.23,0.59121,0.38026,1.01744,0.57957,0.56025,0.57452,0.37945,0.99137,0.61475,1.26954,0.00018575,0.00018575,0.00018575
45,3759.37,0.58207,0.37383,1.01598,0.59169,0.56274,0.59041,0.38806,0.98079,0.61665,1.25573,0.000161,0.000161,0.000161
46,3840.36,0.56212,0.36023,1.00135,0.6221,0.61337,0.60133,0.38544,1.00184,0.62236,1.28405,0.00013625,0.00013625,0.00013625
47,3921.47,0.55292,0.35247,0.99508,0.67074,0.58388,0.5946,0.38961,0.97869,0.63633,1.26499,0.0001115,0.0001115,0.0001115
48,4002.59,0.54109,0.34616,0.98885,0.64965,0.61385,0.5956,0.38694,0.9835,0.62853,1.27069,8.675e-05,8.675e-05,8.675e-05
49,4083.78,0.52951,0.34033,0.9825,0.67096,0.61547,0.60252,0.39574,0.98586,0.62454,1.2754,6.2e-05,6.2e-05,6.2e-05
50,4168.93,0.52653,0.33173,0.98225,0.67645,0.60635,0.60022,0.39119,0.98531,0.61617,1.27376,3.725e-05,3.725e-05,3.725e-05
