epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.99,2.10047,2.7325,2.63741,0.44139,0.19348,0.17349,0.07662,2.01219,2.41968,2.57326,0.000416128,0.000416128,0.000416128
2,412.331,1.78594,2.13336,2.27635,0.49539,0.23813,0.2231,0.10931,1.82161,2.17384,2.40649,0.000824467,0.000824467,0.000824467
3,609.455,1.6376,1.90033,2.12212,0.77203,0.27542,0.27177,0.1416,1.68686,1.79202,2.19326,0.00122447,0.00122447,0.00122447
4,805.991,1.53106,1.70709,2.01068,0.82961,0.26741,0.29047,0.15891,1.57786,1.72056,2.07218,0.0012125,0.0012125,0.0012125
5,995.992,1.43712,1.54371,1.92085,0.82126,0.29217,0.30726,0.17302,1.49229,1.5413,2.03342,0.00120001,0.00120001,0.00120001
6,1190.47,1.37545,1.45666,1.86152,0.85707,0.3125,0.35294,0.19917,1.42168,1.44216,1.96051,0.00118751,0.00118751,0.00118751
7,1383.9,1.31384,1.35392,1.79186,0.83434,0.31965,0.34436,0.20076,1.38574,1.44412,1.92354,0.00117501,0.00117501,0.00117501
8,1576.07,1.27603,1.2948,1.76092,0.86608,0.33597,0.38126,0.23073,1.3476,1.26204,1.86362,0.00116251,0.00116251,0.00116251
9,1768.36,1.25516,1.23467,1.72591,0.59707,0.40097,0.38497,0.22956,1.31641,1.27076,1.81327,0.00115001,0.00115001,0.00115001
10,1960.8,1.21566,1.17635,1.68811,0.8741,0.34886,0.3891,0.23584,1.31231,1.23505,1.80672,0.00113751,0.00113751,0.00113751
11,2158.98,1.18466,1.12928,1.65964,0.87687,0.37591,0.41691,0.25425,1.26483,1.15105,1.75277,0.00112501,0.00112501,0.00112501
12,2360.18,1.15627,1.08288,1.62808,0.87802,0.36819,0.40806,0.2505,1.26109,1.15783,1.74307,0.00111251,0.00111251,0.00111251
13,2558.19,1.14316,1.05394,1.60678,0.69815,0.43079,0.43743,0.26195,1.26216,1.06875,1.73586,0.00110001,0.00110001,0.00110001
14,2757.09,1.12581,1.0165,1.58961,0.89808,0.37849,0.44022,0.27036,1.23118,1.01702,1.70342,0.00108752,0.00108752,0.00108752
15,2953.88,1.10385,0.98465,1.56647,0.62871,0.48024,0.43829,0.2662,1.23135,1.05413,1.71375,0.00107502,0.00107502,0.00107502
16,3153.75,1.0787,0.94891,1.54948,0.63863,0.45322,0.44556,0.27906,1.20641,0.9974,1.67428,0.00106252,0.00106252,0.00106252
17,3354.28,1.06166,0.94151,1.51976,0.71018,0.45496,0.44775,0.2727,1.18887,0.97922,1.67033,0.00105002,0.00105002,0.00105002
18,3553.65,1.0443,0.9086,1.51349,0.65808,0.50058,0.46448,0.29309,1.17131,0.97716,1.64352,0.00103752,0.00103752,0.00103752
19,3749.74,1.04115,0.88332,1.49737,0.69652,0.4708,0.45839,0.28341,1.20012,0.96094,1.67726,0.00102502,0.00102502,0.00102502
20,3944.38,1.01632,0.85853,1.48463,0.69637,0.44547,0.45676,0.29492,1.15349,0.93511,1.61166,0.00101252,0.00101252,0.00101252
21,4138.6,1.00257,0.83504,1.46137,0.67456,0.48282,0.46411,0.29667,1.1552,0.91664,1.62497,0.00100003,0.00100003,0.00100003
22,4329.74,1.00094,0.84356,1.46139,0.70675,0.46302,0.47363,0.3044,1.13564,0.91735,1.59567,0.000987526,0.000987526,0.000987526
23,4524.29,0.98401,0.80673,1.44404,0.72154,0.47684,0.46969,0.29956,1.12893,0.90531,1.57518,0.000975028,0.000975028,0.000975028
24,4719.58,0.96868,0.78582,1.43441,0.74544,0.49071,0.482,0.30435,1.14469,0.87199,1.61404,0.000962529,0.000962529,0.000962529
25,4916.92,0.95478,0.75927,1.42015,0.72436,0.49262,0.48977,0.30952,1.14074,0.87816,1.60985,0.00095003,0.00095003,0.00095003
26,5118.43,0.94718,0.75374,1.40822,0.77442,0.46944,0.5051,0.32804,1.1162,0.8647,1.573,0.000937531,0.000937531,0.000937531
27,5322.51,0.93807,0.74454,1.40067,0.60044,0.51379,0.50492,0.3318,1.13107,0.85667,1.57585,0.000925032,0.000925032,0.000925032
28,5523.67,0.92522,0.72434,1.39245,0.56348,0.47853,0.50816,0.32573,1.12521,0.82619,1.57522,0.000912534,0.000912534,0.000912534
29,5725.39,0.91626,0.70244,1.39232,0.4901,0.49949,0.49886,0.32123,1.12543,0.82624,1.57727,0.000900035,0.000900035,0.000900035
30,5932.36,0.89938,0.69456,1.38045,0.74301,0.492,0.49124,0.31704,1.13412,0.82587,1.59215,0.000887536,0.000887536,0.000887536
31,6136.55,0.89237,0.6752,1.37224,0.51309,0.50641,0.51518,0.33335,1.11932,0.81751,1.58421,0.000875037,0.000875037,0.000875037
32,6340.9,0.88321,0.66536,1.36502,0.50388,0.48409,0.49667,0.32429,1.1063,0.81342,1.55432,0.000862539,0.000862539,0.000862539
33,6538.33,0.87788,0.6573,1.35253,0.52385,0.48741,0.51815,0.3386,1.11178,0.79114,1.56605,0.00085004,0.00085004,0.00085004
34,6744.41,0.85455,0.63743,1.3375,0.55504,0.55929,0.51579,0.33247,1.12477,0.81553,1.59516,0.000837541,0.000837541,0.000837541
35,6949.92,0.8563,0.63137,1.33824,0.5051,0.49584,0.51666,0.33495,1.11889,0.80191,1.57418,0.000825042,0.000825042,0.000825042
36,7156.58,0.841,0.60799,1.32009,0.55627,0.48969,0.51762,0.34029,1.10237,0.77538,1.5587,0.000812544,0.000812544,0.000812544
37,7355.3,0.83333,0.60302,1.31708,0.72934,0.50782,0.56549,0.36551,1.11242,0.78499,1.56895,0.000800045,0.000800045,0.000800045
38,7549.31,0.83038,0.59797,1.30642,0.55718,0.54276,0.55285,0.34376,1.12501,0.78077,1.571,0.000787546,0.000787546,0.000787546
39,7749.66,0.82786,0.5966,1.30751,0.64975,0.52197,0.55931,0.36863,1.09883,0.77515,1.56053,0.000775048,0.000775048,0.000775048
40,7958.62,0.81793,0.57921,1.29866,0.57088,0.56683,0.56289,0.35773,1.11781,0.76891,1.59044,0.000762549,0.000762549,0.000762549
41,8167.07,0.80375,0.56449,1.2882,0.54924,0.51668,0.52775,0.34289,1.10904,0.76824,1.56551,0.00075005,0.00075005,0.00075005
42,8374.37,0.79139,0.5582,1.27554,0.5631,0.50397,0.54213,0.34689,1.11051,0.75243,1.5631,0.000737551,0.000737551,0.000737551
43,8576.34,0.78716,0.54245,1.27062,0.56642,0.50929,0.54325,0.35295,1.10695,0.75173,1.55236,0.000725053,0.000725053,0.000725053
