epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.703,1.07063,1.4722,1.39326,0.56479,0.59188,0.55446,0.34652,1.27937,1.30411,1.48334,0.00332821,0.00332821,0.00332821
2,317.677,1.08474,1.14151,1.38731,0.54541,0.51112,0.47578,0.26569,1.39542,1.45935,1.62428,0.00656733,0.00656733,0.00656733
3,478.373,1.2248,1.33353,1.50055,0.68371,0.40941,0.37454,0.19595,1.65111,1.947,1.93339,0.00971216,0.00971216,0.00971216
4,640.653,1.29193,1.42854,1.56087,0.76897,0.43016,0.43929,0.24841,1.55239,1.53664,1.82332,0.00957571,0.00957571,0.00957571
5,792.783,1.22621,1.33902,1.51773,0.55962,0.49022,0.47188,0.27153,1.41226,1.41261,1.67927,0.00943429,0.00943429,0.00943429
6,935.411,1.18169,1.26047,1.48344,0.58326,0.54553,0.52291,0.29845,1.37899,1.29887,1.6492,0.00929286,0.00929286,0.00929286
7,1081.23,1.13107,1.19954,1.44508,0.55632,0.53243,0.52144,0.31272,1.34474,1.23617,1.61501,0.00915143,0.00915143,0.00915143
8,1228.12,1.10429,1.13853,1.42249,0.50769,0.63453,0.59302,0.34815,1.30176,1.21765,1.57236,0.00901,0.00901,0.00901
9,1375.43,1.07676,1.10151,1.40192,0.49623,0.65531,0.57094,0.33591,1.27338,1.13323,1.53101,0.00886857,0.00886857,0.00886857
10,147.443,1.06133,1.07311,1.38901,0.65283,0.59741,0.59104,0.36627,1.21633,1.13167,1.50095,0.00872714,0.00872714,0.00872714
11,291.993,1.03343,1.03678,1.36842,0.64881,0.58659,0.60716,0.36926,1.2107,1.10494,1.48138,0.00858571,0.00858571,0.00858571
12,437.779,1.01909,1.01203,1.35338,0.62928,0.6412,0.61589,0.3723,1.23412,1.08795,1.49494,0.00844429,0.00844429,0.00844429
13,584.556,0.99596,0.97864,1.33695,0.64824,0.67673,0.66994,0.42134,1.15388,1.01992,1.45602,0.00830286,0.00830286,0.00830286
14,733.605,0.98812,0.95954,1.33046,0.59383,0.68965,0.64432,0.4026,1.17284,1.01706,1.44573,0.00816143,0.00816143,0.00816143
15,883.533,0.97378,0.93835,1.32311,0.57443,0.6862,0.63448,0.40001,1.15499,0.99973,1.41945,0.00802,0.00802,0.00802
16,1029.27,0.95818,0.91586,1.30686,0.66727,0.66454,0.64,0.40475,1.18054,1.00081,1.442,0.00787857,0.00787857,0.00787857
17,1175.92,0.94377,0.89223,1.29706,0.58114,0.71391,0.6475,0.41123,1.14646,0.97389,1.41827,0.00773714,0.00773714,0.00773714
18,1325.83,0.9296,0.8829,1.28552,0.63553,0.72413,0.66222,0.41225,1.15247,0.94199,1.41749,0.00759571,0.00759571,0.00759571
