epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5996,1.88614,2.50864,1.95044,0.15962,0.18952,0.07849,0.02781,2.23635,8.17918,3.03576,0.00066129,0.00066129,0.00066129
2,62.9629,1.98131,2.45739,2.03374,0.00375,0.39315,0.00254,0.00085,2.98678,219.639,5.55505,0.00131481,0.00131481,0.00131481
3,92.1462,1.98036,2.47475,2.05537,0.07615,0.14718,0.05732,0.02905,2.36429,3.6625,2.45669,0.00195513,0.00195513,0.00195513
4,121.041,1.91694,2.30678,1.98128,0.4678,0.36492,0.3683,0.17702,1.90208,2.5196,2.0186,0.0019406,0.0019406,0.0019406
5,150.38,1.84356,2.15802,1.91754,0.3615,0.33669,0.31042,0.14948,1.94599,2.42608,2.02751,0.0019208,0.0019208,0.0019208
6,179.335,1.79728,2.11763,1.88951,0.41002,0.32087,0.32452,0.14982,2.05772,2.38155,2.18331,0.001901,0.001901,0.001901
7,207.945,1.74452,2.04212,1.83684,0.52368,0.42337,0.44139,0.20906,1.8198,2.08311,1.89901,0.0018812,0.0018812,0.0018812
8,236.481,1.71719,1.96426,1.81321,0.50734,0.46976,0.4894,0.22768,1.83687,1.9045,1.92343,0.0018614,0.0018614,0.0018614
9,265.888,1.6761,1.86413,1.7517,0.4903,0.46545,0.47906,0.24135,1.70292,2.12768,1.81705,0.0018416,0.0018416,0.0018416
10,295.39,1.67652,1.88199,1.77861,0.55125,0.48589,0.47723,0.23033,1.77905,1.89175,1.86574,0.0018218,0.0018218,0.0018218
11,325.452,1.61179,1.76709,1.73283,0.63863,0.46976,0.52649,0.26537,1.67102,1.96412,1.7868,0.001802,0.001802,0.001802
12,354.777,1.60818,1.7005,1.70183,0.67346,0.51975,0.59683,0.32469,1.60772,1.76582,1.75148,0.0017822,0.0017822,0.0017822
13,383.904,1.59633,1.66359,1.69571,0.7067,0.55242,0.62061,0.32481,1.57366,1.74836,1.71981,0.0017624,0.0017624,0.0017624
14,412.642,1.57461,1.69769,1.68855,0.69089,0.52274,0.62434,0.33771,1.60287,1.60232,1.73762,0.0017426,0.0017426,0.0017426
15,440.795,1.56813,1.63867,1.67263,0.70541,0.56003,0.62771,0.3168,1.6322,1.65618,1.75818,0.0017228,0.0017228,0.0017228
16,469.471,1.55522,1.58903,1.65319,0.66432,0.60685,0.68667,0.3721,1.55296,1.43638,1.67666,0.001703,0.001703,0.001703
17,498.326,1.56047,1.6044,1.66722,0.71846,0.56594,0.65232,0.33511,1.60105,1.65177,1.74054,0.0016832,0.0016832,0.0016832
18,527.047,1.51384,1.49088,1.63992,0.79908,0.5746,0.70579,0.38304,1.61284,1.47104,1.72932,0.0016634,0.0016634,0.0016634
19,555.934,1.48682,1.47017,1.60077,0.6906,0.61201,0.6742,0.35963,1.56697,1.45002,1.70262,0.0016436,0.0016436,0.0016436
20,584.634,1.51574,1.48375,1.63376,0.58532,0.50806,0.54893,0.30966,1.62913,1.97956,1.76463,0.0016238,0.0016238,0.0016238
21,613.773,1.51791,1.48515,1.62351,0.66011,0.62097,0.66484,0.36742,1.54752,1.53497,1.67303,0.001604,0.001604,0.001604
22,642.874,1.49229,1.46638,1.59803,0.78464,0.57661,0.70138,0.39455,1.60202,1.48428,1.70246,0.0015842,0.0015842,0.0015842
