epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1212,0.71373,0.57208,1.08171,0.67992,0.60017,0.60438,0.39811,1.04795,0.69392,1.24007,0.00041559,0.00041559,0.00041559
2,71.6858,0.75937,0.62602,1.10453,0.60946,0.56455,0.54234,0.34955,1.08828,0.74659,1.26453,0.000815778,0.000815778,0.000815778
3,106.066,0.81289,0.68493,1.13764,0.57344,0.51253,0.53174,0.32919,1.15422,0.85077,1.31091,0.00119947,0.00119947,0.00119947
4,140.599,0.83589,0.71725,1.14974,0.60472,0.54983,0.56419,0.34635,1.16647,0.83147,1.34306,0.00117575,0.00117575,0.00117575
5,184.961,0.83673,0.72091,1.1539,0.80966,0.50413,0.53537,0.33493,1.13661,0.77521,1.31306,0.001151,0.001151,0.001151
6,222.939,0.83313,0.71309,1.15039,0.57913,0.50634,0.55498,0.34707,1.11364,0.77881,1.27831,0.00112625,0.00112625,0.00112625
7,258.72,0.82708,0.7015,1.14511,0.7099,0.49234,0.55438,0.35331,1.10102,0.8105,1.27128,0.0011015,0.0011015,0.0011015
8,292.93,0.81457,0.69186,1.14204,0.69075,0.53175,0.56898,0.35606,1.10134,0.77193,1.277,0.00107675,0.00107675,0.00107675
9,327.591,0.80554,0.6764,1.13398,0.79876,0.59142,0.60767,0.36598,1.09762,0.75481,1.27024,0.001052,0.001052,0.001052
10,361.372,0.80069,0.6697,1.13099,0.67349,0.52763,0.55427,0.34217,1.14538,0.77167,1.29686,0.00102725,0.00102725,0.00102725
11,396.572,0.80352,0.66954,1.13319,0.66236,0.58531,0.57289,0.36373,1.1079,0.74033,1.26507,0.0010025,0.0010025,0.0010025
12,432.242,0.78846,0.65211,1.12057,0.64278,0.54824,0.59893,0.36582,1.09726,0.7402,1.26808,0.00097775,0.00097775,0.00097775
13,468.2,0.79404,0.65781,1.12778,0.65004,0.53856,0.56984,0.36478,1.09741,0.74431,1.27401,0.000953,0.000953,0.000953
14,504.704,0.78913,0.65261,1.11893,0.60846,0.55137,0.58278,0.37326,1.07552,0.73504,1.2686,0.00092825,0.00092825,0.00092825
15,539.235,0.76828,0.64216,1.11189,0.56973,0.53979,0.55177,0.34575,1.0825,0.73106,1.26235,0.0009035,0.0009035,0.0009035
16,575.528,0.76104,0.62532,1.10709,0.64094,0.56568,0.59869,0.37688,1.09759,0.73844,1.26669,0.00087875,0.00087875,0.00087875
17,610.795,0.76505,0.6213,1.10672,0.577,0.51937,0.55515,0.35424,1.0819,0.7311,1.26249,0.000854,0.000854,0.000854
18,646.28,0.76071,0.6209,1.10517,0.70083,0.55963,0.57244,0.37072,1.09469,0.73209,1.27037,0.00082925,0.00082925,0.00082925
19,681.489,0.75461,0.61043,1.1016,0.67894,0.5559,0.58438,0.37188,1.09379,0.7081,1.26978,0.0008045,0.0008045,0.0008045
20,716.358,0.74162,0.59451,1.0944,0.65411,0.54313,0.56668,0.3679,1.07003,0.71205,1.24713,0.00077975,0.00077975,0.00077975
21,751.93,0.74027,0.60016,1.09326,0.54879,0.58875,0.55753,0.3581,1.09711,0.72473,1.27034,0.000755,0.000755,0.000755
22,788.28,0.72885,0.59361,1.08762,0.69841,0.58288,0.60256,0.39928,1.05611,0.70035,1.24385,0.00073025,0.00073025,0.00073025
23,823.69,0.72186,0.57598,1.08171,0.71275,0.54997,0.58635,0.37917,1.06835,0.70075,1.25181,0.0007055,0.0007055,0.0007055
24,859.122,0.71347,0.56238,1.07799,0.54158,0.58918,0.54597,0.35347,1.0522,0.7146,1.24152,0.00068075,0.00068075,0.00068075
25,894.454,0.70259,0.55893,1.07129,0.64135,0.55043,0.56268,0.37004,1.05659,0.7123,1.23682,0.000656,0.000656,0.000656
26,930.41,0.7044,0.55687,1.07271,0.71609,0.55622,0.59672,0.39235,1.06134,0.69701,1.25653,0.00063125,0.00063125,0.00063125
27,968.332,0.70141,0.55359,1.07168,0.64824,0.58703,0.58902,0.3814,1.0652,0.68381,1.2612,0.0006065,0.0006065,0.0006065
28,1004.74,0.69087,0.53767,1.06824,0.7155,0.569,0.60303,0.38904,1.06144,0.69334,1.24486,0.00058175,0.00058175,0.00058175
29,1044.14,0.69039,0.53873,1.06235,0.65083,0.61062,0.59171,0.38283,1.0507,0.69034,1.2367,0.000557,0.000557,0.000557
30,1078.47,0.6788,0.52453,1.06208,0.68706,0.62062,0.59101,0.39018,1.05089,0.68206,1.23257,0.00053225,0.00053225,0.00053225
31,1113.93,0.67664,0.52086,1.05804,0.62761,0.63343,0.58749,0.3833,1.05516,0.71873,1.24975,0.0005075,0.0005075,0.0005075
32,1148.35,0.67951,0.52172,1.05677,0.6231,0.63949,0.61182,0.39747,1.05267,0.69536,1.23833,0.00048275,0.00048275,0.00048275
33,1182.78,0.66485,0.51343,1.04853,0.71353,0.56499,0.58867,0.3832,1.06358,0.67969,1.24663,0.000458,0.000458,0.000458
34,1218.68,0.6603,0.50737,1.04783,0.74368,0.58936,0.6149,0.39573,1.05032,0.68715,1.24,0.00043325,0.00043325,0.00043325
35,1254.47,0.64987,0.49847,1.04453,0.78094,0.58811,0.6121,0.40041,1.04872,0.66623,1.27191,0.0004085,0.0004085,0.0004085
36,1290.03,0.65111,0.49536,1.04273,0.75724,0.5947,0.60947,0.40329,1.05835,0.67752,1.26349,0.00038375,0.00038375,0.00038375
37,1322.85,0.64871,0.48992,1.04267,0.80943,0.57755,0.59642,0.39145,1.06476,0.68451,1.2639,0.000359,0.000359,0.000359
38,1355.47,0.63799,0.47974,1.03689,0.74886,0.60884,0.62715,0.40905,1.05855,0.67754,1.25344,0.00033425,0.00033425,0.00033425
39,1388.11,0.63247,0.47519,1.03105,0.62532,0.65276,0.61266,0.40771,1.05185,0.67266,1.24724,0.0003095,0.0003095,0.0003095
40,1420.66,0.632,0.47595,1.03442,0.85865,0.58202,0.63818,0.41291,1.05193,0.67877,1.24647,0.00028475,0.00028475,0.00028475
41,1460.46,0.59075,0.36512,0.97388,0.86169,0.60555,0.62264,0.39694,1.05553,0.70253,1.24467,0.00026,0.00026,0.00026
42,1492.67,0.57251,0.35019,0.96109,0.72634,0.59317,0.60869,0.3974,1.05937,0.67554,1.25388,0.00023525,0.00023525,0.00023525
43,1524.87,0.56639,0.34211,0.95774,0.72454,0.61905,0.61799,0.41033,1.04299,0.67046,1.23728,0.0002105,0.0002105,0.0002105
44,1558.52,0.55248,0.33451,0.95025,0.68339,0.63447,0.61331,0.40661,1.04582,0.67472,1.24473,0.00018575,0.00018575,0.00018575
45,1593.24,0.54889,0.32781,0.95358,0.85513,0.61501,0.62857,0.41204,1.04454,0.67041,1.24897,0.000161,0.000161,0.000161
46,1627.8,0.53717,0.32142,0.94293,0.85787,0.62603,0.63471,0.4163,1.05531,0.67402,1.26517,0.00013625,0.00013625,0.00013625
47,1663.08,0.53601,0.31874,0.94155,0.78403,0.59922,0.61594,0.4092,1.04956,0.68179,1.25305,0.0001115,0.0001115,0.0001115
48,1697.5,0.52475,0.31059,0.93672,0.77516,0.60011,0.6164,0.4074,1.04744,0.66856,1.25513,8.675e-05,8.675e-05,8.675e-05
49,1730.55,0.52094,0.3081,0.93543,0.77964,0.58923,0.60203,0.39764,1.03727,0.68067,1.24472,6.2e-05,6.2e-05,6.2e-05
50,1764.48,0.51633,0.30476,0.9324,0.71467,0.5996,0.59268,0.39458,1.04297,0.66932,1.25168,3.725e-05,3.725e-05,3.725e-05
